date-time,Asset,pos,price,ts,PnL
15-06-2022 19:00:29,DATA,el,0.02516,1655276429,0.0
15-06-2022 19:07:13,DATA,xl,0.02546,0,1.178318932
17-06-2022 02:00:31,BTC,el,20880.8,0,0.0
17-06-2022 07:23:27,BTC,xl,21107.14,0,1.072338555
17-06-2022 16:00:26,LUNA,el,2.2471,0,0.0
18-06-2022 06:51:40,LUNA,xl,2.152,0,-4.419144981
18-06-2022 11:00:27,SOL,el,29.63,0,0.0
18-06-2022 11:12:28,SOL,xl,29.96,0,1.101468625
18-06-2022 12:00:49,BTC,el,19243.98,0,0.0
18-06-2022 17:43:21,BTC,xl,18514.59,0,-3.939541734
18-06-2022 22:00:28,BTC,el,18517.72,0,0.0
18-06-2022 22:16:58,BTC,xl,18727.06,0,1.117847649
18-06-2022 23:01:18,ALGO,el,0.2964,0,0.0
19-06-2022 00:09:22,ALGO,xl,0.2995,0,1.035058431
19-06-2022 05:00:24,ADA,el,0.4455,0,0.0
19-06-2022 05:09:36,ADA,xl,0.4508,0,1.175687666
19-06-2022 06:00:58,DATA,el,0.02279,0,0.0
19-06-2022 06:08:30,DATA,xl,0.02302,0,0.99913119
19-06-2022 07:00:51,XRP,el,0.3027,0,0.0
19-06-2022 07:19:20,XRP,xl,0.306,0,1.078431373
19-06-2022 08:00:42,BTC,el,18306.93,0,0.0
19-06-2022 08:30:35,BTC,xl,18513.5,0,1.115780376
21-06-2022 00:03:00,TRIBE,el,0.1616,0,0.0
21-06-2022 05:21:15,TRIBE,xl,0.1633,0,1.041028781
21-06-2022 06:02:26,HNT,el,10.85,0,0.0
21-06-2022 06:07:25,HNT,xl,10.96,0,1.003649635
21-06-2022 07:02:36,BNX,el,137.2,0,0.0
21-06-2022 12:02:11,BNX,xl,133.3,0,-2.925731433
21-06-2022 19:02:41,BNX,el,132.7,0,0.0
21-06-2022 23:49:45,BNX,xl,134.2,0,1.117734724
22-06-2022 06:02:13,LIT,el,0.864,0,0.0
22-06-2022 06:39:53,LIT,xl,0.875,0,1.257142857
22-06-2022 07:03:04,REN,el,0.1154,0,0.0
22-06-2022 07:47:38,REN,xl,0.1087,0,-6.16375345
22-06-2022 08:02:49,OG,el,2.771,0,0.0
22-06-2022 08:09:43,OG,xl,2.803,0,1.141633964
22-06-2022 09:02:54,PAXG,el,18300,0,0.0
22-06-2022 15:22:08,PAXG,xl,18490,0,1.027582477
22-06-2022 18:02:22,AR,el,9.28,0,0.0
23-06-2022 00:26:50,AR,xl,9.38,0,1.066098081
25-06-2022 19:02:57,BCH,el,114.7,0,0.0
26-06-2022 01:03:44,BCH,xl,115.9,0,1.035375324
26-06-2022 04:02:36,LIT,el,1.048,0,0.0
26-06-2022 04:42:28,LIT,xl,1.059,0,1.03871577
26-06-2022 05:02:34,RNDR,el,0.536,0,0.0
26-06-2022 05:09:21,RNDR,xl,0.543,0,1.289134438
26-06-2022 06:02:25,WOO,el,0.2091,0,0.0
26-06-2022 06:40:26,WOO,xl,0.2114,0,1.087984863
26-06-2022 08:02:22,EGLD,el,61.38,0,0.0
26-06-2022 11:53:14,EGLD,xl,62.01,0,1.015965167
26-06-2022 12:02:15,WOO,el,0.2123,0,0.0
26-06-2022 12:09:13,WOO,xl,0.2146,0,1.071761417
26-06-2022 15:02:08,STORJ,el,0.858,0,0.0
26-06-2022 18:09:36,STORJ,xl,0.8275,0,-3.685800604
26-06-2022 19:02:41,AUD,el,0.6934,0,0.0
27-06-2022 00:49:59,AUD,xl,0.6922,0,-0.1733603
27-06-2022 02:02:56,WAVES,el,6.19,0,0.0
27-06-2022 02:03:06,WAVES,xl,6.28,0,1.433121019
27-06-2022 03:02:27,PEOPLE,el,0.02443,0,0.0
27-06-2022 03:46:44,PEOPLE,xl,0.02469,0,1.053057918
27-06-2022 04:02:47,SOL,el,40.15,0,0.0
27-06-2022 04:39:30,SOL,xl,40.56,0,1.010848126
27-06-2022 05:02:32,AVAX,el,20.33,0,0.0
27-06-2022 07:08:39,AVAX,xl,20.54,0,1.022395326
27-06-2022 08:02:43,LINK,el,6.92,0,0.0
27-06-2022 08:59:24,LINK,xl,6.99,0,1.001430615
27-06-2022 09:02:27,SUPER,el,0.1488,0,0.0
27-06-2022 11:25:01,SUPER,xl,0.1504,0,1.063829787
27-06-2022 13:02:47,MTL,el,781.369525598547,0,0.0
27-06-2022 13:32:31,MTL,xl,781.369525598547,0,1.0555946516537822
27-06-2022 16:02:23,ALCX,el,43.713625821871474,0,0.0
27-06-2022 21:56:41,ALCX,xl,43.713625821871474,0,1.167315175097271
27-06-2022 22:02:44,SOL,el,29.19543096731021,0,0.0
27-06-2022 22:12:52,SOL,xl,29.19543096731021,0,1.2320328542094447
27-06-2022 23:02:57,BNB,el,4.852619413337909,0,0.0
28-06-2022 07:02:54,BNB,xl,236.8,0,1.0135135135135296
28-06-2022 08:02:56,TRX,el,0.06685,0,0.0
28-06-2022 08:55:40,TRX,xl,0.06755,0,1.0362694300518078
28-06-2022 09:02:44,STORJ,el,0.7654,0,0.0
